City_ID,City,Country,Lat,Lng,Date,Cloudiness,Humidity,Max Temp,Wind Speed
30,Alofi,NU,-19.06,-169.92,1528902000,76,88,71.6,3.36
31,Ola,RU,59.58,151.3,1528902000,75,100,42.8,7.76
32,Atar,MR,20.52,-13.05,1528902000,20,19,91.4,9.17
33,Rikitea,PF,-23.12,-134.97,1528905325,0,100,73.57,8.66
34,Hermanus,ZA,-34.42,19.24,1528905325,0,24,77.17,8.66
35,Ponta Delgada,PT,37.73,-25.67,1528903800,75,88,71.6,12.75
36,Bambari,CF,5.77,20.68,1528905326,24,84,81.85,7.65
37,Cap Malheureux,MU,-19.98,57.61,1528902000,75,69,75.2,14.99
38,Puerto Escondido,MX,15.86,-97.07,1528901100,75,65,80.6,3.36
39,Qaanaaq,GL,77.48,-69.36,1528905330,32,100,31.45,6.31
40,New Norfolk,AU,-42.78,147.06,1528902000,20,87,44.6,8.05
41,Najran,SA,17.54,44.22,1528902000,40,13,98.6,11.41
42,Isla Mujeres,MX,21.23,-86.73,1528904340,90,100,75.2,16.11
43,Mar Del Plata,AR,-46.43,-67.52,1528905297,0,100,32.53,7.31
44,Provideniya,RU,64.42,-173.23,1528905332,0,91,40.63,10.78
45,Jamestown,AU,-33.21,138.6,1528905333,12,88,43.15,10.89
46,Medicine Hat,CA,50.04,-110.68,1528902000,20,34,66.2,14.99
47,Katsuura,JP,33.93,134.5,1528905334,8,88,62.05,7.54
48,Aklavik,CA,68.22,-135.01,1528902000,20,53,51.8,11.41
49,Tuktoyaktuk,CA,69.44,-133.03,1528902000,20,61,46.4,6.93
50,Kapaa,US,22.08,-159.32,1528901760,90,88,75.2,14.99
51,Mildura,AU,-34.18,142.16,1528905300,0,92,45.67,9.66
52,Souillac,FR,45.6,-0.6,1528903800,75,49,73.4,10.29
53,Lorengau,PG,-2.02,147.27,1528905336,100,100,80.59,3.85
54,Praia,BR,-20.25,-43.81,1528902000,20,47,82.4,3.36
55,Port Alfred,ZA,-33.59,26.89,1528905338,0,50,76.54,7.2
56,Barranca,PE,-10.75,-77.76,1528905339,0,98,61.87,9.89
57,Nome,US,30.04,-94.42,1528902900,40,70,87.8,3.36
58,matay,EG,28.42,30.79,1528905339,0,23,97.69,6.98
59,Saskylakh,RU,71.97,114.09,1528905339,48,55,59.53,5.86
60,Itarema,BR,-2.92,-39.92,1528905340,0,61,88.33,12.57
61,Butaritari,KI,3.07,172.79,1528905340,56,100,81.13,7.31
62,Peniche,PT,39.36,-9.38,1528903800,20,64,75.2,12.75
63,Beloha,MG,-25.17,45.06,1528905340,0,57,71.95,16.37
64,Anadyr,RU,64.73,177.51,1528902000,0,57,48.2,4.47
65,Luderitz,NA,-26.65,15.16,1528905342,12,64,64.03,17.38
66,Rochester,US,44.02,-92.46,1528902960,1,37,73.4,6.93
67,Bosaso,SO,11.28,49.18,1528905347,0,86,89.77,3.96
68,Faanui,PF,-16.48,-151.75,1528905347,0,100,79.96,11.79
69,Grindavik,IS,63.84,-22.43,1528902000,75,70,48.2,5.82
70,Margate,AU,-43.03,147.26,1528902000,20,87,44.6,8.05
71,Marsh Harbour,BS,26.54,-77.06,1528905349,88,95,82.39,10
72,Comodoro Rivadavia,AR,-45.87,-67.48,1528902000,40,60,42.8,9.17
73,Upernavik,GL,72.79,-56.15,1528905350,92,100,29.29,3.74
74,Uige,AO,-7.61,15.06,1528905350,0,29,86.8,3.18
75,Bredasdorp,ZA,-34.53,20.04,1528902000,0,23,82.4,5.82
76,Bodden Town,KY,19.28,-81.25,1528902000,40,78,80.6,16.11
77,Guerrero Negro,MX,27.97,-114.04,1528905350,44,88,63.85,3.74
78,Bilma,NE,18.69,12.92,1528905351,0,12,110.47,4.63
79,Carnarvon,ZA,-30.97,22.13,1528905351,0,30,60.43,14.25
80,Ponta Do Sol,BR,-20.63,-46,1528905352,12,72,78.25,3.96
81,Vila Franca Do Campo,PT,37.72,-25.43,1528903800,75,88,71.6,12.75
82,Puerto Del Rosario,ES,28.5,-13.86,1528903800,20,60,73.4,17.22
83,Sitka,US,37.17,-99.65,1528905353,20,92,74.02,5.97
84,Camacha,PT,33.08,-16.33,1528903800,75,72,68,16.11
85,Saint-Philippe,CA,45.36,-73.48,1528902900,1,54,78.8,11.41
86,Port Blair,IN,11.67,92.75,1528905357,92,97,84.37,25.1
87,Albany,US,42.65,-73.75,1528903860,90,68,69.8,3.36
88,Barrow,AR,-38.31,-60.23,1528905182,88,72,50.26,8.21
89,Qorveh,IR,35.17,47.8,1528905357,92,22,76.72,3.18
90,San Jeronimo,PE,-13.65,-73.37,1528902000,90,81,46.4,2.39
91,Mataura,NZ,-46.19,168.86,1528905299,24,79,25.69,3.18
92,Buala,SB,-8.15,159.59,1528905359,64,100,78.7,4.18
93,Eyl,SO,7.98,49.82,1528905359,20,57,86.62,22.41
94,Abu Dhabi,AE,24.47,54.37,1528902000,0,29,98.6,16.11
95,Tahe,CN,52.34,124.71,1528905359,92,98,51.43,2.17
96,Chuy,UY,-33.69,-53.46,1528905099,80,93,52.87,28.9
97,Dzerzhinskoye,RU,56.84,95.22,1528905360,8,69,65.11,3.85
98,Vanavara,RU,60.35,102.28,1528905360,0,50,64.21,5.64
99,Muros,ES,42.77,-9.06,1528903800,40,72,66.2,10.29
100,Auchel,FR,50.51,2.47,1528903800,0,49,68,3.36
101,Bubaque,GW,11.28,-15.83,1528902000,40,55,91.4,11.41
102,Khatanga,RU,71.98,102.47,1528905361,8,65,60.97,4.63
103,Los Banos,US,37.06,-120.85,1528904100,1,67,75.2,4.74
104,Labuhan,ID,-2.54,115.51,1528905361,12,95,72.94,1.83
105,Saint-Paul,FR,45.22,1.9,1528903800,75,56,68,14.99
106,Petatlan,MX,17.52,-101.27,1528901220,90,74,84.2,1.83
107,Baykit,RU,61.68,96.39,1528905366,36,68,63.94,4.29
108,Dalby,AU,-27.18,151.26,1528902000,75,93,53.6,2.24
109,Yellowknife,CA,62.45,-114.38,1528902540,90,93,46.4,8.05
110,Hilo,US,19.71,-155.08,1528901580,75,88,66.2,5.82
111,Turukhansk,RU,65.8,87.96,1528905297,36,76,66.37,6.42
112,Dingle,PH,11,122.67,1528905368,68,82,79.96,8.21
113,Dillon,US,45.22,-112.64,1528901580,1,44,57.2,5.82
114,Labytnangi,RU,66.66,66.39,1528905370,64,75,47.11,17.49
115,Gigmoto,PH,13.78,124.39,1528905370,36,98,83.56,17.6
116,Nouakchott,MR,18.08,-15.98,1528905371,68,76,76.72,1.39
117,Rumoi,JP,43.93,141.67,1528905371,92,100,44.41,8.1
118,Dikson,RU,73.51,80.55,1528905373,32,100,31.09,13.13
119,Chinsali,ZM,-10.55,32.07,1528905377,0,36,73.39,9.22
120,Georgetown,GY,6.8,-58.16,1528902000,75,78,82.4,9.17
121,Tooele,US,40.53,-112.3,1528902900,1,35,73.4,9.17
122,Nikolskoye,RU,59.7,30.79,1528902000,40,41,60.8,4.47
123,Bodo,CI,5.91,-4.68,1528905379,80,66,87.7,8.21
124,Minador Do Negrao,BR,-9.31,-36.86,1528905379,32,80,76.81,13.24
125,Sambava,MG,-14.27,50.17,1528905379,88,100,77.35,19.73
126,Yerbogachen,RU,61.28,108.01,1528905380,0,44,64.93,7.43
127,Kahului,US,20.89,-156.47,1528901760,1,93,66.2,3.36
128,Clyde River,CA,70.47,-68.59,1528902660,75,100,35.6,21.92
129,Ancud,CL,-41.87,-73.83,1528905381,20,90,39.1,2.73
130,Beringovskiy,RU,63.05,179.32,1528905381,0,88,39.37,3.4
131,Majene,ID,-3.54,118.97,1528905382,32,100,81.85,11.01
132,Ahar,IR,38.48,47.07,1528905382,36,62,62.77,3.74
133,Ilhabela,BR,-23.78,-45.36,1528905382,80,98,72.85,2.28
134,Listvyagi,RU,53.68,86.95,1528905382,0,78,65.11,2.06
135,Skjervoy,NO,70.03,20.97,1528903200,40,65,44.6,10.29
136,Cape Town,ZA,-33.93,18.42,1528902000,0,35,73.4,9.17
137,Iqaluit,CA,63.75,-68.52,1528902000,90,96,35.6,20.8
